1	Theo	V	O	0	root
2	công_bố	V	O	1	vmod
3	,	CH	O	1	punct
4	ông	Nc	O	1	sub
5	Sam_Altman	Np	B-PER	4	nmod
6	sẽ	R	O	7	adv
7	tham_gia	V	O	1	vmod
8	hội_đồng_quản_trị	N	O	7	dob
9	cùng	A	O	8	nmod
10	3	M	O	11	det
11	thành_viên	N	O	9	amod
12	mới	R	O	13	adv
13	bao_gồm	V	O	8	nmod
14	bà	Nc	O	13	dob
15	Sue_Desmond	Np	B-PER	14	nmod
16	-	CH	O	14	punct
17	Hellmann	Np	O	14	nmod
18	(	CH	O	14	punct
19	cựu	Z	O	20	nmod
20	CEO	Ny	O	14	nmod
21	Quỹ_Bill	Np	B-ORG	20	nmod
22	&	CH	O	14	punct
23	Melinda_Gates	Np	B-PER	14	nmod
24	)	CH	O	14	punct
25	,	CH	O	14	punct
26	bà	Nc	O	14	nmod
27	Nicole_Seligman	Np	B-PER	26	nmod
28	(	CH	O	26	punct
29	cựu	Z	O	30	nmod
30	chủ_tịch	N	O	26	nmod
31	Sony	Np	B-ORG	30	nmod
32	Entertainment	Np	I-ORG	30	nmod
33	)	CH	O	14	punct
34	và	Cc	O	1	coord
35	bà	Nc	O	30	nmod
36	Fidji_Simo	Np	B-PER	35	nmod
37	(	CH	O	35	punct
38	CEO	Ny	O	35	nmod
39	Instacart	Np	B-PER	38	nmod
40	)	CH	O	35	punct
41	.	CH	O	1	punct

1	Sau	E	O	13	tmp
2	khi	N	O	1	pob
3	sa_thải	V	O	2	nmod
4	ông	Nc	O	3	dob
5	Altman	Np	B-PER	4	nmod
6	vào	E	O	3	tmp
7	tháng	N	O	6	pob
8	11	M	O	7	det
9	/	CH	O	7	punct
10	2023	M	O	7	det
11	,	CH	O	13	punct
12	OpenAI	Np	O	13	sub
13	đưa	V	O	0	root
14	ông	Nc	O	13	dob
15	Bret_Taylor	Np	B-PER	14	nmod
16	(	CH	O	14	punct
17	cựu	Z	O	18	nmod
18	CEO	Ny	O	14	nmod
19	Salesforce	Np	B-ORG	18	nmod
20	)	CH	O	14	punct
21	,	CH	O	13	punct
22	ông	Nc	O	41	sub
23	Larry_Summers	Np	B-PER	22	nmod
24	(	CH	O	22	punct
25	cựu	Z	O	26	nmod
26	bộ_trưởng	N	O	22	nmod
27	Bộ	Np	B-ORG	26	nmod
28	Tài_chính	Np	I-ORG	27	nmod
29	Mỹ	Np	I-ORG	27	nmod
30	)	CH	O	22	punct
31	và	Cc	O	22	coord
32	ông	Nc	O	31	conj
33	Adam_D	Np	B-PER	32	nmod
34	'	CH	O	32	punct
35	Angelo	Np	B-PER	32	nmod
36	(	CH	O	32	punct
37	cựu	Z	O	38	nmod
38	CEO	Ny	O	32	nmod
39	Quora	Np	O	38	nmod
40	)	CH	O	22	punct
41	lên	V	O	13	vmod
42	làm	V	O	41	vmod
43	thành_viên	N	O	42	dob
44	hội_đồng_quản_trị	N	O	43	nmod
45	.	CH	O	13	punct

1	Ngày	N	O	11	tmp
2	17	M	O	1	det
3	/	CH	O	1	punct
4	11	M	O	1	det
5	/	CH	O	1	punct
6	2023	M	O	1	det
7	,	CH	O	11	punct
8	hội_đồng_quản_trị	N	O	11	sub
9	OpenAI	Np	O	8	nmod
10	bất_ngờ	A	O	11	vmod
11	thông_báo	V	O	0	root
12	sa_thải	V	O	11	vmod
13	ông	Nc	O	12	dob
14	Sam_Altman	Np	B-PER	13	nmod
15	mà	C	O	11	coord
16	không	R	O	17	adv
17	đưa	V	O	15	conj
18	ra	R	O	17	adv
19	bất_kỳ	A	O	20	nmod
20	lý_do	N	O	17	dob
21	cụ_thể	A	O	20	nmod
22	nào	P	O	20	nmod
23	khiến	V	O	11	vmod
24	công_ty	N	O	23	dob
25	rơi	V	O	24	nmod
26	vào	V	O	25	vmod
27	hỗn_loạn	A	O	26	vmod
28	.	CH	O	11	punct

1	Đến	E	O	10	tmp
2	ngày	N	O	1	pob
3	21	M	O	2	det
4	/	CH	O	2	punct
5	11	M	O	2	det
6	/	CH	O	2	punct
7	2023	M	O	2	det
8	,	CH	O	10	punct
9	OpenAI	Np	B-PER	10	sub
10	cho	V	O	0	root
11	biết	V	O	10	vmod
12	họ	P	O	14	sub
13	đã	R	O	14	adv
14	đạt	V	O	10	vmod
15	được	R	O	14	adv
16	thoả_thuận	V	O	14	vmod
17	để	E	O	16	prp
18	ông	Nc	O	20	sub
19	Sam_Altman	Np	B-PER	18	nmod
20	quay	V	O	17	dep
21	lại	R	O	20	adv
22	vị_trí	N	O	20	dob
23	cũ	A	O	22	nmod
24	đồng_thời	R	O	25	adv
25	thành_lập	V	O	20	vmod
26	hội_đồng_quản_trị	N	O	25	dob
