1	Tuần	N	O	7	tmp
2	trước	A	O	1	nmod
3	,	CH	O	7	punct
4	ông	Nc	O	7	sub
5	Donald_Trump	Np	B-PER	4	nmod
6	đã	R	O	7	adv
7	vượt	V	O	0	root
8	qua	V	O	7	adv
9	đối_thủ	N	O	7	dob
10	duy_nhất	A	O	9	nmod
11	còn	V	O	9	nmod
12	lại	R	O	11	adv
13	,	CH	O	7	punct
14	cựu	Z	O	15	nmod
15	Đại_sứ	N	O	7	sub
16	Mỹ	Np	B-LOC	15	nmod
17	tại	E	O	15	loc
18	Liên_hợp_quốc	Np	B-ORG	17	pob
19	Nikki_Haley	Np	I-ORG	18	nmod
20	,	CH	O	7	punct
21	khi	N	O	19	tmp
22	giành	V	O	21	nmod
23	chiến_thắng	N	O	22	dob
24	tại	E	O	22	loc
25	15	M	O	28	det
26	/	CH	O	28	punct
27	16	M	O	28	det
28	bang	N	O	24	pob
29	trong	E	O	28	nmod
30	ngày	N	O	29	pob
31	bầu_cử	V	O	30	nmod
32	Siêu	Np	O	30	nmod
33	thứ	N	O	30	nmod
34	Ba	M	O	33	det
35	(	CH	O	30	punct
36	5	M	O	30	det
37	/	CH	O	30	punct
38	3	M	O	30	det
39	)	CH	O	7	punct
40	.	CH	O	7	punct

1	Với	E	O	8	prp
2	kết_quả	N	O	1	pob
3	này	P	O	2	det
4	,	CH	O	8	punct
5	ông	Nc	O	8	sub
6	Trump	Np	B-PER	5	nmod
7	chỉ	R	O	8	adv
8	cần	V	O	0	root
9	thêm	V	O	8	vmod
10	khoảng	N	O	12	nmod
11	140	M	O	12	det
12	phiếu	N	O	8	dob
13	đại_biểu	N	O	12	nmod
14	để	E	O	8	prp
15	trở_thành	V	O	14	vmod
16	người	N	O	15	dob
17	đại_diện	V	O	16	nmod
18	cho	E	O	15	iob
19	đảng	N	O	18	pob
20	Cộng_hoà	N	O	19	nmod
21	trong	E	O	16	nmod
22	cuộc	N	O	21	pob
23	đua	V	O	22	nmod
24	vào	E	O	22	dir
25	Nhà_Trắng	Np	B-LOC	24	pob
26	tháng	N	O	22	tmp
27	11	M	O	26	det
28	tới	V	O	22	nmod
29	.	CH	O	8	punct

1	Tổng_số	N	O	15	sub
2	phiếu	N	O	1	nmod
3	đại_biểu	N	O	1	nmod
4	tại	E	O	1	loc
5	các	L	O	6	det
6	bang	N	B-LOC	4	pob
7	Georgia	Np	I-LOC	6	nmod
8	,	CH	O	7	punct
9	Hawaii	Np	B-LOC	7	nmod
10	,	CH	O	7	punct
11	Washington	Np	B-LOC	7	nmod
12	và	Cc	O	7	coord
13	Mississippi	Np	B-LOC	12	conj
14	hiện	N	O	15	tmp
15	là	V	O	0	root
16	161	M	O	15	vmod
17	.	CH	O	15	punct

1	Quyết_định	N	O	8	sub
2	ngừng	V	O	1	nmod
3	chiến_dịch	N	O	2	dob
4	tranh_cử	V	O	3	nmod
5	của	E	O	3	nmod
6	bà	Nc	O	5	pob
7	Haley	Np	B-PER	6	nmod
8	khiến	V	O	0	root
9	việc	N	O	8	dob
10	đạt	V	O	9	nmod
11	đủ	A	O	10	vmod
12	số	N	O	11	amod
13	phiếu	N	O	12	nmod
14	đại_biểu	N	O	12	nmod
15	cần_thiết	A	O	12	nmod
16	dường_như	R	O	17	dep
17	trong	E	O	10	vmod
18	tầm	N	O	17	pob
19	tay	N	O	18	nmod
20	của	E	O	18	nmod
21	ông	Nc	O	20	pob
22	Trump	Np	B-PER	21	nmod
23	.	CH	O	8	punct

1	Về	E	O	14	pmod
2	phía	N	O	1	pob
3	đảng	N	B-ORG	2	nmod
4	Dân_chủ	Np	I-ORG	2	nmod
5	,	CH	O	2	punct
6	cùng	A	O	2	nmod
7	ngày	N	O	6	amod
8	,	CH	O	14	punct
9	Tổng_thống	N	O	14	sub
10	Mỹ	Np	B-LOC	9	nmod
11	Joe_Biden	Np	B-PER	9	nmod
12	cũng	R	O	14	adv
13	sẽ	R	O	14	adv
14	góp_mặt	V	O	0	root
15	trong	E	O	14	loc
16	các	L	O	17	det
17	cuộc	N	O	15	pob
18	bầu_cử	V	O	17	nmod
19	sơ_bộ	A	O	17	nmod
20	tại	E	O	17	loc
21	Georgia	Np	B-LOC	20	pob
22	,	CH	O	21	punct
23	Mississippi	Np	B-LOC	21	nmod
24	,	CH	O	21	punct
25	Washington	Np	B-LOC	21	nmod
26	và	Cc	O	17	coord
27	Quần_đảo	N	B-LOC	26	conj
28	Bắc_Marianas	Np	I-LOC	27	nmod
29	.	CH	O	14	punct

1	Tổng_thống	N	O	5	sub
2	Biden	Np	B-PER	1	nmod
3	đã	R	O	5	adv
4	"	CH	O	5	punct
5	thống_trị	V	O	0	root
6	"	CH	O	5	punct
7	đường_đua	N	O	5	dob
8	của	E	O	7	nmod
9	đảng	N	B-ORG	8	pob
10	Dân_chủ	Np	I-ORG	9	nmod
11	từ	E	O	7	tmp
12	cuộc	N	O	11	pob
13	bầu_cử	V	O	12	nmod
14	sơ_bộ	A	O	12	nmod
15	ở	E	O	12	loc
16	South_Carolina	Np	B-LOC	15	pob
17	hôm	N	O	12	tmp
18	3	M	O	17	det
19	/	CH	O	14	punct
20	2	M	O	17	det
21	vừa_qua	X	O	17	x
22	cho	E	O	5	tmp
23	đến	V	O	22	vmod
24	mạch	N	O	23	dob
25	chiến_thắng	V	O	24	nmod
26	áp_đảo	V	O	22	vmod
27	trong	E	O	26	tmp
28	ngày	N	O	27	pob
29	Siêu_Thứ	Np	O	28	nmod
30	Ba	Np	O	28	nmod
31	để	E	O	26	prp
32	rộng	A	O	31	dep
33	đường	N	O	32	amod
34	tiến	V	O	31	vmod
35	tới	E	O	34	dir
36	giành	V	O	35	vmod
37	đề_cử	V	O	36	vmod
38	của	E	O	33	nmod
39	đảng	N	O	38	pob
40	.	CH	O	5	punct

1	Ông	Nc	O	4	sub
2	Biden	Np	B-PER	1	nmod
3	sẽ	R	O	4	adv
4	có	V	O	0	root
