FILE	PERS_NAME	PROF_INSEE	NIV_ETUDES	TEXT
./ESLO2_ENT_1001_C.tei_corpo.xml	ch_OB1	Cadres et professions intellectuelles supérieures	Bac + 5 et plus	mais ça ne serait pas non plus
./ESLO2_ENT_1004_C.tei_corpo.xml	ZF4	Retraités	Bac	alors on ne lui a pas mis une chaise
