5	Thượng_tướng	N	O	4	dob
6	Hoàng_Xuân_Chiến	Np	B-PER	5	nmod
7	cùng	A	O	5	coord
8	Đoàn	Nc	O	7	conj
9	cán_bộ	N	O	8	nmod
10	cấp	N	O	8	nmod
11	cao	A	O	10	nmod
12	Bộ	N	B-ORG	8	nmod
13	Quốc_phòng	N	I-ORG	12	nmod
14	Việt_Nam	Np	I-ORG	13	nmod
15	đã	R	O	16	adv
16	nhận_lời	V	O	3	vmod
17	sang	V	O	16	vmod
18	thăm	V	O	17	vmod
19	,	CH	O	16	punct
20	làm_việc	V	O	16	vmod
21	tại	E	O	20	loc
22	Liên_bang	Np	O	21	pob
23	Nga	Np	B-LOC	22	nmod
24	;	CH	O	16	punct
25	bày_tỏ	V	O	16	vmod
26	luôn	R	O	25	adv
27	coi_trọng	V	O	25	vmod
28	quan_hệ	N	O	27	dob
29	Đối_tác	V	O	28	nmod
30	chiến_lược	N	O	29	dob
31	toàn_diện	A	O	30	nmod
32	Việt_Nam	Np	B-LOC	30	nmod
33	-	CH	O	32	punct
34	Liên_bang	Np	O	32	nmod
35	Nga	Np	B-LOC	32	nmod
36	;	CH	O	3	punct
37	cho	V	O	3	vmod
38	biết	V	O	37	vmod
39	sẽ	R	O	41	adv
40	thường_xuyên	A	O	41	vmod
41	quan_tâm	V	O	37	vmod
42	chỉ_đạo	V	O	41	vmod
43	,	CH	O	41	punct
44	thúc_đẩy	V	O	41	vmod
45	hợp_tác	V	O	44	vmod
46	quốc_phòng	N	O	45	vmod
47	giữa	E	O	45	loc
48	hai	M	O	49	det
49	nước	N	O	47	pob
50	,	CH	O	37	punct
51	nhất_là	X	O	52	x
52	về	E	O	37	vmod
53	trao_đổi	V	O	52	vmod
54	đoàn	Nc	O	53	dob
55	cấp	N	O	54	nmod
56	cao	A	O	54	nmod
57	,	CH	O	37	punct
58	công_tác	N	O	61	sub
59	đào_tạo	V	O	58	nmod
60	và	Cc	O	37	coord
61	hợp_tác	V	O	60	conj
62	về	E	O	61	vmod
63	kỹ_thuật	N	O	62	pob
64	quân_sự	N	O	63	nmod
65	...	CH	O	3	punct

1	Đại_tướng	N	O	3	sub
2	Sergei_Shoigu	Np	B-PER	1	nmod
3	trân_trọng	V	O	0	root
4	cảm_ơn	V	O	3	vmod
5	về	E	O	4	vmod
6	lời	N	O	5	pob
7	thăm_hỏi	V	O	6	nmod
8	của	E	O	6	nmod
9	Đại_tướng	N	O	8	pob
10	Phan_Văn_Giang	Np	B-PER	9	nmod
11	;	CH	O	3	punct
12	vui_lòng	A	O	13	vmod
13	nhận_lời	V	O	3	vmod
14	mời	V	O	13	vmod
15	thăm	V	O	14	vmod
16	chính_thức	A	O	15	vmod
17	Việt_Nam	Np	B-LOC	15	vmod
18	của	E	O	17	nmod
19	Đại_tướng	N	O	18	pob
20	Phan_Văn_Giang	Np	B-PER	19	nmod
21	;	CH	O	3	punct
22	cho	V	O	3	vmod
23	biết	V	O	22	vmod
24	sẽ	R	O	25	adv
25	thu_xếp	V	O	22	vmod
26	chuyến	N	O	25	dob
27	thăm	V	O	26	nmod
28	trong	E	O	25	tmp
29	thời_gian	N	O	28	pob
30	sớm	A	O	29	nmod
31	nhất	A	O	30	amod
32	.	CH	O	3	punct

1	Cùng	A	O	2	nmod
2	ngày	N	O	6	tmp
3	,	CH	O	6	punct
4	Thượng_tướng	N	O	6	sub
5	Hoàng_Xuân_Chiến	Np	B-PER	4	nmod
6	cùng	A	O	0	root
7	lãnh_đạo	N	O	6	amod
8	Bộ	N	B-ORG	7	nmod
9	Quốc_phòng	N	I-ORG	8	nmod
10	Liên_bang	Np	I-ORG	9	nmod
11	Nga	Np	I-ORG	7	nmod
12	đồng	Nu	O	7	nmod
13	chủ_trì	N	O	12	nmod
14	Đối_thoại	V	O	6	vmod
15	Chính_sách	N	O	14	dob
16	quốc_phòng	N	O	15	nmod
17	Việt_Nam	Np	B-LOC	16	nmod
18	-	CH	O	16	punct
19	Liên_bang	Np	O	16	nmod
20	Nga	Np	B-LOC	16	nmod
21	lần	N	O	15	tmp
22	thứ	N	O	21	nmod
23	6	M	O	22	det
24	;	CH	O	6	punct
25	đánh_giá	V	O	6	dep
26	kết_quả	N	O	25	dob
27	hợp_tác	V	O	26	nmod
28	quốc_phòng	N	O	27	vmod
29	giữa	E	O	26	nmod
30	hai	M	O	31	det
31	nước	N	O	29	pob
32	thời_gian	N	O	31	nmod
33	qua	V	O	32	nmod
34	,	CH	O	6	punct
35	xác_định	V	O	6	vmod
36	phương_hướng	N	O	35	dob
37	hợp_tác	V	O	36	nmod
38	thời_gian	N	O	37	dob
39	tới	V	O	38	nmod
40	.	CH	O	6	punct

1	XUÂN_HƯNG	Np	B-PER	0	root

1	Phóng_viên	N	O	4	sub
2	Báo	N	B-ORG	1	nmod
3	Nhân_Dân	Np	I-ORG	2	nmod
4	thường_trú	V	O	0	root
5	tại	E	O	4	loc
6	Nga	Np	B-LOC	5	pob

